"","name","height","mass","hair_color","skin_color","eye_color","birth_year","gender","homeworld","species"
"1","Luke Skywalker",172,77,"blond","fair","blue",19,"male","Tatooine","Human"
"2","C-3PO",167,75,NA,"gold","yellow",112,NA,"Tatooine","Droid"
"3","R2-D2",96,32,NA,"white, blue","red",33,NA,"Naboo","Droid"
"4","Darth Vader",202,136,"none","white","yellow",41.9,"male","Tatooine","Human"
"5","Leia Organa",150,49,"brown","light","brown",19,"female","Alderaan","Human"
"6","Owen Lars",178,120,"brown, grey","light","blue",52,"male","Tatooine","Human"
"7","Beru Whitesun lars",165,75,"brown","light","blue",47,"female","Tatooine","Human"
"8","R5-D4",97,32,NA,"white, red","red",NA,NA,"Tatooine","Droid"
"9","Biggs Darklighter",183,84,"black","light","brown",24,"male","Tatooine","Human"
"10","Obi-Wan Kenobi",182,77,"auburn, white","fair","blue-gray",57,"male","Stewjon","Human"
"11","Anakin Skywalker",188,84,"blond","fair","blue",41.9,"male","Tatooine","Human"
"12","Wilhuff Tarkin",180,NA,"auburn, grey","fair","blue",64,"male","Eriadu","Human"
"13","Chewbacca",228,112,"brown","unknown","blue",200,"male","Kashyyyk","Wookiee"
"14","Han Solo",180,80,"brown","fair","brown",29,"male","Corellia","Human"
"15","Greedo",173,74,NA,"green","black",44,"male","Rodia","Rodian"
"16","Jabba Desilijic Tiure",175,1358,NA,"green-tan, brown","orange",600,"hermaphrodite","Nal Hutta","Hutt"
"17","Wedge Antilles",170,77,"brown","fair","hazel",21,"male","Corellia","Human"
"18","Jek Tono Porkins",180,110,"brown","fair","blue",NA,"male","Bestine IV","Human"
"19","Yoda",66,17,"white","green","brown",896,"male",NA,"Yoda's species"
"20","Palpatine",170,75,"grey","pale","yellow",82,"male","Naboo","Human"
"21","Boba Fett",183,78.2,"black","fair","brown",31.5,"male","Kamino","Human"
"22","IG-88",200,140,"none","metal","red",15,"none",NA,"Droid"
"23","Bossk",190,113,"none","green","red",53,"male","Trandosha","Trandoshan"
"24","Lando Calrissian",177,79,"black","dark","brown",31,"male","Socorro","Human"
"25","Lobot",175,79,"none","light","blue",37,"male","Bespin","Human"
"26","Ackbar",180,83,"none","brown mottle","orange",41,"male","Mon Cala","Mon Calamari"
"27","Mon Mothma",150,NA,"auburn","fair","blue",48,"female","Chandrila","Human"
"28","Arvel Crynyd",NA,NA,"brown","fair","brown",NA,"male",NA,"Human"
"29","Wicket Systri Warrick",88,20,"brown","brown","brown",8,"male","Endor","Ewok"
"30","Nien Nunb",160,68,"none","grey","black",NA,"male","Sullust","Sullustan"
"31","Qui-Gon Jinn",193,89,"brown","fair","blue",92,"male",NA,"Human"
"32","Nute Gunray",191,90,"none","mottled green","red",NA,"male","Cato Neimoidia","Neimodian"
"33","Finis Valorum",170,NA,"blond","fair","blue",91,"male","Coruscant","Human"
"34","Jar Jar Binks",196,66,"none","orange","orange",52,"male","Naboo","Gungan"
"35","Roos Tarpals",224,82,"none","grey","orange",NA,"male","Naboo","Gungan"
"36","Rugor Nass",206,NA,"none","green","orange",NA,"male","Naboo","Gungan"
"37","Ric Olié",183,NA,"brown","fair","blue",NA,"male","Naboo",NA
"38","Watto",137,NA,"black","blue, grey","yellow",NA,"male","Toydaria","Toydarian"
"39","Sebulba",112,40,"none","grey, red","orange",NA,"male","Malastare","Dug"
"40","Quarsh Panaka",183,NA,"black","dark","brown",62,"male","Naboo",NA
"41","Shmi Skywalker",163,NA,"black","fair","brown",72,"female","Tatooine","Human"
"42","Darth Maul",175,80,"none","red","yellow",54,"male","Dathomir","Zabrak"
"43","Bib Fortuna",180,NA,"none","pale","pink",NA,"male","Ryloth","Twi'lek"
"44","Ayla Secura",178,55,"none","blue","hazel",48,"female","Ryloth","Twi'lek"
"45","Dud Bolt",94,45,"none","blue, grey","yellow",NA,"male","Vulpter","Vulptereen"
"46","Gasgano",122,NA,"none","white, blue","black",NA,"male","Troiken","Xexto"
"47","Ben Quadinaros",163,65,"none","grey, green, yellow","orange",NA,"male","Tund","Toong"
"48","Mace Windu",188,84,"none","dark","brown",72,"male","Haruun Kal","Human"
"49","Ki-Adi-Mundi",198,82,"white","pale","yellow",92,"male","Cerea","Cerean"
"50","Kit Fisto",196,87,"none","green","black",NA,"male","Glee Anselm","Nautolan"
"51","Eeth Koth",171,NA,"black","brown","brown",NA,"male","Iridonia","Zabrak"
"52","Adi Gallia",184,50,"none","dark","blue",NA,"female","Coruscant","Tholothian"
"53","Saesee Tiin",188,NA,"none","pale","orange",NA,"male","Iktotch","Iktotchi"
"54","Yarael Poof",264,NA,"none","white","yellow",NA,"male","Quermia","Quermian"
"55","Plo Koon",188,80,"none","orange","black",22,"male","Dorin","Kel Dor"
"56","Mas Amedda",196,NA,"none","blue","blue",NA,"male","Champala","Chagrian"
"57","Gregar Typho",185,85,"black","dark","brown",NA,"male","Naboo","Human"
"58","Cordé",157,NA,"brown","light","brown",NA,"female","Naboo","Human"
"59","Cliegg Lars",183,NA,"brown","fair","blue",82,"male","Tatooine","Human"
"60","Poggle the Lesser",183,80,"none","green","yellow",NA,"male","Geonosis","Geonosian"
"61","Luminara Unduli",170,56.2,"black","yellow","blue",58,"female","Mirial","Mirialan"
"62","Barriss Offee",166,50,"black","yellow","blue",40,"female","Mirial","Mirialan"
"63","Dormé",165,NA,"brown","light","brown",NA,"female","Naboo","Human"
"64","Dooku",193,80,"white","fair","brown",102,"male","Serenno","Human"
